LANGCODE	Mood	Aspect	PronType	Voice	VerbForm	Definite	NumForm	Polarity	NumValue	Gender	Case	Person	AdpType	Number	NumType	Reflex	Tense	Person[psor]	Polite	Number[psor]	Hyph	Connegative	Abbr	Poss	Degree	Animacy	Evident	PunctType	PunctSide	PrepCase	Typo	Variant	Number[psed]	NameType	Subcat	Distance	Style	Gender[psor]	Foreign	PartForm	InfForm	Clitic	Derivation	Position	Strength	AdvType	Echo	Orth	Animacy[gram]	Uninflect	Xtra	HebSource	VerbType	HebBinyan	Prefix	HebExistential	AdjType	Dialect	Form	PartType	NounType	Number[erg]	Person[dat]	Number[abs]	Gender[erg]	Number[dat]	Person[abs]	Polite[abs]	Polite[dat]	Polite[erg]	Gender[dat]	Person[erg]	Emphatic	Agglutination	SubGender	Clusivity
ar_padt		1.9061250612341665	1.9967913275093847	2.3146120484306265	1.2309158802818705	1.0	2.850048938319573	1.0	1.0	1.5305420420692721	1.9865512218221664	2.339934037741508	1.0995895121294421	1.0	1.6232689417068276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ug_udt		1.877232029061274	1.0	1.8490250430167887	1.0	3.947909964900047	0	0	1.0	0	1.4575692649810903	3.5618460001506103	2.1439159301647703	0	1.9660209172143353	1.0	1.0	1.5368177416765276	1.4120990325755478	1.0	1.3894429516095992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
et_edt		1.3358538206480544	0	4.244328662228279	1.3929679623697142	1.9738719641427873	0	2.0282225425562412	1.0	0	0	6.727249880440373	1.7806152731223839	1.0	1.6686551464346655	1.7326604198509434	1.0	2.143323562111872	0	0	0	1.0	1.0	1.0	1.0	1.4043699635751667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sv_lines		1.1013704127306128	0	3.1892534713564555	1.3124893217403395	2.3874904904263308	1.99692446934973	0	1.0	0	1.8590229829633436	1.5238476363762243	0	0	1.7362121806848116	0	0	1.9551756374931908	0	0	0	0	0	0	1.0	1.3278280300844147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bg_btb		1.1194669015228333	1.9717841209923845	3.0403863305963115	1.3531103466466443	1.6285893231558695	1.8625032993340858	0	0	0	2.848775735956377	2.5539116066887044	1.8580142392547019	0	1.939116581769518	1.7514122269334806	1.0	2.190030738932241	0	0	0	0	0	0	1.0	1.193751364254689	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kmr_mg		1.182870542802813	0	2.6018879888549167	0	1.0	1.0	0	1.0	0	2.5214613514782585	2.9237296595198794	1.0	1.0	2.054417896090352	1.0	1.0	1.7351258175456958	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
en_gum		1.0	0	2.3868032633070166	0	1.7470835462903627	1.8420991607272708	0	0	0	2.745315357306872	1.6343139860295373	2.3588592312569343	0	1.5770427368257112	1.0	1.0	1.999074332142031	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca_ancora		1.4219776741428611	0	2.812108413646667	0	1.7633580676418021	1.0022015923132037	1.0	0	0	1.9864434579097487	2.3605459585091864	1.2466263195135812	1.0	1.777459509042346	2.3390123408561476	0	2.59684574669169	0	1.0	1.6418496868101184	0	0	0	1.0	0	0	0	1.5079872257844564	1.9994357852314997	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pl_sz		1.3057846073490973	1.9542822127718829	3.2808997770510526	1.56396221875206	3.1058605534139376	0	0	1.0525687092048	0	2.7685620340642885	5.017917382582057	2.27521475425533	1.0	1.8076083824000366	1.0	1.0	2.181010585102139	0	0	1.9976209355216223	0	0	0	1.0	1.1110707746896205	2.2290346385963025	0	0	0	1.671649791732247	1.0	1.7664553962382588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hu_szeged		1.7838634251019823	1.0	2.882783884184586	1.086219349775634	2.456694429229239	1.8637688608342677	0	0	0	0	4.123163550368417	1.272912922373458	0	1.4779010684951746	1.7660188290943315	1.0	1.9906774296635465	1.6623146986226949	0	1.6758836132130899	0	0	0	1.0	1.251438183777679	0	0	0	0	0	0	0	1.0094742210257066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
