LANGCODE	DET	PROPN	ADJ	PUNCT	NOUN	NUM	X	VERB	ADV	AUX	PRON	PART	CCONJ	ADP	SYM	INTJ	SCONJ
ar_padt		4542	143	23391	17515	73145	6009	18009	16467	839	545	7820	2965	19106	33053	325	7	0
ug_udt		186	27	1090	3662	7062	478	48	3807	445	536	1244	42	246	300	0	61	28
et_edt		4541	16989	24071	47256	75892	5688	284	32461	27910	14663	15308	0	10425	6325	107	247	5692
sv_lines		2627	1603	3330	5268	8509	261	10	6078	3652	2061	5540	1081	1836	5296	9	108	1056
bg_btb		1872	6797	10813	17523	27147	1668	2	13714	5250	7011	8052	1648	3885	17572	0	106	1276
kmr_mg		6	13	12	32	81	5	5	21	5	11	6	2	7	31	1	0	4
en_gum		4623	4168	3538	6700	9684	949	156	5797	1973	2633	3722	1290	1715	5474	66	54	1144
ca_ancora		56793	36356	23576	42063	77610	7414	11	31419	12128	18920	18433	113	11797	69039	3543	11	8361
pl_sz		1468	2243	6005	10056	15609	574	193	8114	2157	1762	3361	2102	1588	6432	0	0	837
hu_szeged		2515	1279	2562	2884	4523	502	12	1803	1483	115	748	59	925	377	0	11	368
hy_armtdp		36	48	59	156	197	9	0	103	26	58	37	10	40	11	0	0	14
cs_cac		19274	9356	70820	57355	129869	7109	0	38728	26445	13694	15382	3047	23011	46339	3686	13	8480
vi_vtb		310	823	1104	2960	6495	617	1595	4123	0	182	0	109	530	1189	0	3	245
nl_alpino		22344	12545	12640	20061	31703	3191	674	18727	11406	9591	12486	0	3807	23645	362	80	2784
la_proiel		3726	6138	17341	0	34650	1408	396	34937	18398	6756	15978	0	12440	13519	0	459	5782
en_ewt		16286	12946	12483	23679	34773	3998	847	23023	10553	12381	18579	5567	6708	17623	603	688	3848
fi_tdt		0	9911	11575	23878	45688	4026	201	22356	12498	9279	10686	0	6605	2432	419	170	2897
sme_giella		0	626	857	2804	3877	218	0	3668	1232	447	1850	209	476	275	0	10	286
ro_rrt		10205	4925	12820	23281	46007	4677	61	19584	8153	7170	10046	4144	5946	25960	403	31	1700
ja_gsd		720	8017	3834	16660	44500	3917	0	15199	1629	20651	861	2135	755	35701	1195	0	6126
cs_fictree		6731	1824	8769	25317	22055	1037	51	19987	8701	5229	11252	2759	6169	9858	0	89	3770
sk_snk		3446	2790	6327	15531	15269	661	370	11749	3600	3185	5732	1607	2524	6156	2	66	1560
es_ancora		60656	34458	29439	52915	81523	6929	2	36311	14496	13779	19947	122	12225	71192	406	88	10129
sv_talbanken		3428	1082	5762	7302	16100	1324	0	6796	4680	2780	4386	1222	2456	7864	75	21	1367
fi_ftb		3271	5483	8332	18062	29654	1826	244	27010	8139	3036	8432	4523	3813	2203	17	270	3287
it_postwita		11563	8332	3974	11965	14208	1085	813	9008	5129	3553	5211	0	2357	10435	9431	1117	1260
cs_pdt		43598	66283	147587	172656	289943	32780	1	105085	61902	31810	34788	6332	44235	113870	928	77	21407
la_perseus		0	0	1758	2641	4451	143	26	3714	1366	0	1613	0	1105	915	0	20	432
grc_perseus		6739	0	17877	20284	32590	205	38	29856	13556	0	10288	13629	4939	7859	0	372	1663
no_bokmaal		11404	14282	21215	29129	45007	3062	569	26154	7854	13394	20485	5514	8474	28243	63	167	8871
sl_sst		1204	529	1132	343	2396	355	1039	2586	1921	1248	1065	1729	1104	1201	0	777	844
lv_lvtb		1944	2967	4404	14125	20841	943	212	11899	4971	2323	5324	1789	3182	3679	271	44	1748
hr_set		5722	10244	18271	18761	37035	2324	206	13433	6831	9762	4634	1412	6446	15155	88	11	3720
grc_proiel		27884	7743	14752	0	31421	1420	14	34511	20286	3445	15546	0	12118	13821	0	473	3615
ur_udtb		1973	13656	7850	5538	25612	1849	16	9435	1123	7939	4559	2402	2562	22002	0	2	2172
uk_iu		2829	2171	7420	14052	17880	812	295	8129	4013	698	3248	2138	2944	6878	70	85	1436
ru_taiga		285	381	736	2106	2374	248	126	1207	439	44	574	375	456	888	67	20	153
gl_ctg		13697	1097	6445	7480	18221	1348	0	7427	1931	875	3406	392	2429	13276	370	4	929
gl_treegal		2526	954	1015	1607	2715	159	4	1415	734	391	851	0	422	2302	1	5	335
fa_seraji		2905	0	10655	10719	44835	2632	187	9953	3436	4410	4783	2082	6623	13547	0	55	4242
hi_hdtb		6081	34289	16459	18668	62191	5332	135	27188	2703	20821	11857	5610	5110	59221	0	3	5389
he_htb		14852	6864	6726	15558	32504	2843	159	13544	5207	723	6352	3537	4619	19430	0	2	4760
fr_sequoia		7432	2561	3119	5728	10736	1183	127	4249	1851	1624	2084	12	1202	8082	0	3	550
cu_proiel		530	1016	3483	0	6266	435	4	9575	3904	780	4056	0	3175	3081	0	209	918
af_afribooms		3769	359	2168	3129	7335	163	291	2957	1295	2276	2495	926	1327	4365	323	0	716
